original_name,normalized_name,volume,volume_unit
"Rosneft Revolux D3 5W-40 Масло моторное, Синтетическое, 20 л",ROSNEFT REVOLUX D3 5W40 20 L,20,l
"Rosneft Magnum Ultratec 1л 5W-40 Масло моторное, Синтетическое, 1 л",ROSNEFT MAGNUM ULTRATEC 1 5W40 1 L,1,l
"Rosneft Magnum Ultratec 4л 5W-40 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC 4 5W40 4 L,4,l
"Rosneft magnum maxtec 5W-40 Масло моторное, Полусинтетическое, 4 л",ROSNEFT MAGNUM MAXTEC 5W40 4 L,4,l
"Rosneft magnum coldtec 5W-30 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM COLDTEC 5W30 4 L,4,l
"Rosneft Rosneft 10W-40 Масло моторное, Полусинтетическое, 4 л",ROSNEFT 10W40 4 L,4,l
"Rosneft 5W-40 Масло моторное, Синтетическое, 4 л",ROSNEFT 5W40 4 L,4,l
"Rosneft Rosneft 10W-40 Масло моторное, Синтетическое, 4 л",ROSNEFT 10W40 4 L,4,l
"Rosneft Rosneft 5W-30 Масло моторное, Синтетическое, 4 л",ROSNEFT 5W30 4 L,4,l
"Rosneft Rosneft 10W-40 Масло моторное, Полусинтетическое, 4 л",ROSNEFT 10W40 4 L,4,l
"Rosneft Rosneft 10W-40 Масло моторное, Полусинтетическое, 5 л",ROSNEFT 10W40 5 L,5,l
"Роснефть Metalway 68, 20л",METALWAY 20 L,20,l
"Rosneft ROSNEFT MAGNUM ULTRATEC 5W-30 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC 5W30 4 L,4,l
"Роснефть Kinetic ATF III, 4л",KINETIC ATF III 4 L,4,l
"Rosneft ROSNEFT MAXIMUM 15W-40 Масло моторное, Минеральное, 4 л",ROSNEFT MAXIMUM 15W40 4 L,4,l
"Роснефть Kinetic ATF III, 1л",KINETIC ATF III 1 L,1,l
Масло Rosneft Kinetic Hypoid 80W-90 60л,ROSNEFT KINETIC HYPOID 80W90 60 L,60,l
"Роснефть Gidrotec HVLP 32, 20л",GIDROTEC HVLP 20 L,20,l
"Rosneft ROSNEFT MAXIMUM 15W-40 Масло моторное, Минеральное, 5 л",ROSNEFT MAXIMUM 15W40 5 L,5,l
Масло Rosneft Kinetic UN 75W90 60л,ROSNEFT KINETIC UN 75W90 60 L,60,l
"Роснефть Arbotec 5, 20л",ARBOTEC 20 L,20,l
"Роснефть Kinetic ATF IID, 20л",KINETIC ATF IID 20 L,20,l
"Rosneft MAGNUM ULTRATEC FE 5W-30 Масло моторное, Синтетическое, 1 л",ROSNEFT MAGNUM ULTRATEC FE 5W30 1 L,1,l
"Роснефть ВМГЗ , 20л", 20 L,20,l
"Роснефть Gidrotec HVLP 46, 20л",GIDROTEC HVLP 20 L,20,l
"Rosneft Magnum Ultratec A3 0W-30 0W-30 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC A3 0W30 4 L,4,l
"Rosneft ROSNEFT MAXIMUM 15W-40 Масло моторное, Минеральное, 1 л",ROSNEFT MAXIMUM 15W40 1 L,1,l
Роснефть Plastex Lithium EP2,PLASTEX LITHIUM EP2  ,,
"Rosneft МОТО 2T Не подлежит классификации по SAE Масло моторное, Минеральное, 1 л",ROSNEFT 2T SAE 1 L,1,l
"Rosneft Revolux 15W-40 Масло моторное, Синтетическое, 20 л",ROSNEFT REVOLUX 15W40 20 L,20,l
"Rosneft MAGNUM MAXTEC 5W-30 Масло моторное, Полусинтетическое, 4 л",ROSNEFT MAGNUM MAXTEC 5W30 4 L,4,l
Роснефть Смазка Литол24,24  ,,
Роснефть Plastex Lithium Complex EP2,PLASTEX LITHIUM COMPLEX EP2  ,,
"Rosneft MAGNUM MAXTEC 5W-40 Масло моторное, Полусинтетическое, 1 л",ROSNEFT MAGNUM MAXTEC 5W40 1 L,1,l
"Rosneft Magnum Ultratec FE 0W-20 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC FE 0W20 4 L,4,l
"Роснефть Gidrotec HLP 68, 20л",GIDROTEC HLP 20 L,20,l
"Rosneft Magnum Ultratec C3 5W-30 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC C3 5W30 4 L,4,l
"Rosneft MAGNUM MAXTEC 5W-30 Масло моторное, Полусинтетическое, 1 л",ROSNEFT MAGNUM MAXTEC 5W30 1 L,1,l
"Rosneft Magnum ultratec 4л 5W-40 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC 4 5W40 4 L,4,l
"Rosneft Magnum ultratec 4л 5W-30 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC 4 5W30 4 L,4,l
"Rosneft magnum racing 5W-40 Масло моторное, Синтетическое, 1 л",ROSNEFT MAGNUM RACING 5W40 1 L,1,l
"Rosneft magnum coldtec 5W-40 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM COLDTEC 5W40 4 L,4,l
"Rosneft Magnum ultratec 1л 5W-40 Масло моторное, Синтетическое, 1 л",ROSNEFT MAGNUM ULTRATEC 1 5W40 1 L,1,l
"Rosneft magnum racing 5W-40 Масло моторное, Синтетическое, 5 л",ROSNEFT MAGNUM RACING 5W40 5 L,5,l
"Rosneft Magnum ultratec 1л 10W-40 Масло моторное, Синтетическое, 1 л",ROSNEFT MAGNUM ULTRATEC 1 10W40 1 L,1,l
Масло Роснефть Kinetic ATF III 60л,KINETIC ATF III 60 L,60,l
Масло гидравлическое Rosneft Gidrotec HVLP 32 минеральное 20л,ROSNEFT GIDROTEC HVLP 32 20 L,20,l
"Rosneft Magnum ultratec 1л 5W-30 Масло моторное, Синтетическое, 1 л",ROSNEFT MAGNUM ULTRATEC 1 5W30 1 L,1,l
"Rosneft Magnum ultratec 4л 5W-30 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC 4 5W30 4 L,4,l
"Rosneft maximum 10W-40 Масло моторное, Полусинтетическое, 4 л",ROSNEFT MAXIMUM 10W40 4 L,4,l
"Rosneft magnum maxtec 10W-40 Масло моторное, Полусинтетическое, 4 л",ROSNEFT MAGNUM MAXTEC 10W40 4 L,4,l
"Rosneft Magnum ultratec 4л 10W-40 Масло моторное, Синтетическое, 4 л",ROSNEFT MAGNUM ULTRATEC 4 10W40 4 L,4,l
"Rosneft MAGNUM MAXTEC 5W-30 Масло моторное, Полусинтетическое, 1 л",ROSNEFT MAGNUM MAXTEC 5W30 1 L,1,l
