original_name,normalized_name,volume,volume_unit
"Защита контактов и электрики Valvoline Electro Protect, 500мл",VALVOLINE ELECTRO PROTECT 500 ML,500,ml
"Valvoline valvoline 0W-30 Масло моторное, Синтетическое, 4 л",VALVOLINE 0W30 4 L,4,l
"Valvoline valvoline 5W-40 Масло моторное, Синтетическое, 5 л",VALVOLINE 5W40 5 L,5,l
"Valvoline valvoline 5W-30 Масло моторное, Синтетическое, 5 л",VALVOLINE 5W30 5 L,5,l
Трансмиссионное масло VALVOLINE GEAR OIL 75W-80 RPC кан. 1 л,VALVOLINE GEAR OIL 75W80 RPC 1 L,1,l
Масло трансмиссионное Valvoline AXLE Oil 75W-90 1л,VALVOLINE AXLE OIL 75W90 1 L,1,l
"Valvoline SYNPOWER DX1 SAE 5W-30 Масло моторное, Синтетическое, 1 л",VALVOLINE SYNPOWER DX1 SAE 5W30 1 L,1,l
"Valvoline MAXLIFE 5W-30 Масло моторное, Синтетическое, 1 л",VALVOLINE MAXLIFE 5W30 1 L,1,l
"Valvoline SYNPOWER FE 5W-30 Масло моторное, Синтетическое, 1 л",VALVOLINE SYNPOWER FE 5W30 1 L,1,l
"Valvoline SYNPOWER ENV C2 5W-30 Масло моторное, Синтетическое, 1 л",VALVOLINE SYNPOWER ENV C2 5W30 1 L,1,l
"Valvoline ALL CLIMATE 5W-30 Масло моторное, Синтетическое, 1 л",VALVOLINE ALL CLIMATE 5W30 1 L,1,l
Масло Valvoline DCT (1л),VALVOLINE DCT 1 L,1,l
"Valvoline 5W-30 Масло моторное, Синтетическое, 60 л",VALVOLINE 5W30 60 L,60,l
"Valvoline MAXLIFE C3 SAE 5W-30 Масло моторное, Синтетическое, 1 л",VALVOLINE MAXLIFE C3 SAE 5W30 1 L,1,l
"Valvoline SynPower 5W-30 Масло моторное, Синтетическое, 1 л",VALVOLINE SYNPOWER 5W30 1 L,1,l
"Valvoline SYNPOWER MST C4 5W-30 Масло моторное, Синтетическое, 1 л",VALVOLINE SYNPOWER MST C4 5W30 1 L,1,l
