original_name,normalized_name,volume,volume_unit,package_count,price,price_total,source_file
Material description,VALVOLINE Material description,,,1,100.00,0.00,
VAL HYBRID C5 0W20 DR 208 L,VALVOLINE HYBRID C5 0W20 DR 208 L,208,L,1,755.24,157090.07,
VAL HYBRID C5 0W20 KE 60 L,VALVOLINE HYBRID C5 0W20 KE 60 L,60,L,1,762.79,45767.46,
VAL HYBRID C5 0W20 PL 20 L,VALVOLINE HYBRID C5 0W20 PL 20 L,20,L,1,823.28,16465.66,
SYNPOWER XL-III C3 5W30 4/4 L SW,VALVOLINE SYNPOWER XL-III C3 5W30 4/4 L SW,4,L,4,753.28,12052.42,
VAL HYBRID C5 0W20 4/5 L SW,VALVOLINE HYBRID C5 0W20 4/5 L SW,5,L,4,854.00,17080.04,
VAL HYBRID C5 0W20 12/1 L SW,VALVOLINE HYBRID C5 0W20 12/1 L SW,1,L,12,900.38,10804.53,
VAL HYBRID VEHICLE C5 0W20 4/5 L NSW,VALVOLINE HYBRID VEHICLE C5 0W20 4/5 L NSW,5,L,4,854.00,17080.04,
VAL HYBRID VEHICLE C5 0W20 12/1 L NSW,VALVOLINE HYBRID VEHICLE C5 0W20 12/1 L NSW,1,L,12,900.38,10804.53,
VAL HYBRID C2 5W30 DR 208 L,VALVOLINE HYBRID C2 5W30 DR 208 L,208,L,1,744.93,154946.14,
VAL HYBRID C2 5W30 KE 60 L,VALVOLINE HYBRID C2 5W30 KE 60 L,60,L,1,766.01,45960.73,
VAL HYBRID C2 5W30 PL 20 L,VALVOLINE HYBRID C2 5W30 PL 20 L,20,L,1,816.84,16336.82,
VAL HYBRID C2 5W30 4/5 L SW,VALVOLINE HYBRID C2 5W30 4/5 L SW,5,L,4,844.98,16899.66,
VAL HYBRID VEHICLE C2 5W30 4/5 L NSW,VALVOLINE HYBRID VEHICLE C2 5W30 4/5 L NSW,5,L,4,844.98,16899.66,
VAL HYBRID C2 5W30 12/1 L SW,VALVOLINE HYBRID C2 5W30 12/1 L SW,1,L,12,892.65,10711.77,
VAL HYBRID VEHICLE C2 5W30 12/1 L NSW,VALVOLINE HYBRID VEHICLE C2 5W30 12/1 L NSW,1,L,12,892.65,10711.77,
VAL HYBRID C3 5W30 DR 208 L,VALVOLINE HYBRID C3 5W30 DR 208 L,208,L,1,738.49,153606.18,
VAL HYBRID C3 5W30 KE 60 L,VALVOLINE HYBRID C3 5W30 KE 60 L,60,L,1,759.57,45574.20,
VAL HYBRID C3 5W30 PL 20 L,VALVOLINE HYBRID C3 5W30 PL 20 L,20,L,1,807.82,16156.44,
VAL HYBRID C3 5W30 4/5 L SW,VALVOLINE HYBRID C3 5W30 4/5 L SW,5,L,4,837.25,16745.05,
VAL HYBRID VEHICLE C3 5W30 4/5 L NSW,VALVOLINE HYBRID VEHICLE C3 5W30 4/5 L NSW,5,L,4,837.25,16745.05,
VAL HYBRID C3 5W30 12/1 L SW,VALVOLINE HYBRID C3 5W30 12/1 L SW,1,L,12,891.04,10692.44,
VAL HYBRID VEHICLE C3 5W30 12/1 L NSW,VALVOLINE HYBRID VEHICLE C3 5W30 12/1 L NSW,1,L,12,891.04,10692.44,
